profileName,login,tweets,following,followers,likes,pic,comment,chart_name,group
InterestingWorld,WorldInterestin,20100,76,526000,3,https://pbs.twimg.com/profile_images/635750241652879360/YQMTtQYV_400x400.png,trash,InterestingWorld,
Ёжик в панаме,xuzuv,83100,680000,693000,99,https://pbs.twimg.com/profile_images/1370034005/man_lamp1_400x400.jpg,,Ёжик в панаме,
янГоу,yan_gordienko,5355,110,1540000,1885,https://pbs.twimg.com/profile_images/962875702407200768/ibbqSN3t_400x400.jpg,,Ян Гордієнко,star
Arseniy Yatsenyuk,Yatsenyuk_AP,2321,55,615000,90,https://pbs.twimg.com/profile_images/952853886867595264/2q9z0GU0_400x400.jpg,,Арсеній Яценюк,politics
Емельянов,ymlnv,3587,596,243000,7349,https://pbs.twimg.com/profile_images/856818934330339328/g1Z7-gOc_400x400.jpg,,Емельянов,
Юлія Тимошенко,YuliaTymoshenko,523,7,251000,2,https://pbs.twimg.com/profile_images/466876496053669888/2AgF9MJs_400x400.jpeg,,Юлія Тимошенко,politics
Юрий,YuriLa2012,16900,17400,300000,370,https://pbs.twimg.com/profile_images/756810453565800449/iSfs016W_400x400.jpg,,Юрий,
ZAXID.NET,ZaxidNet,95800,1400,87300,5329,https://pbs.twimg.com/profile_images/965955001301524480/bn0Z7bYH_400x400.jpg,,ZAXID.NET,media
Daniil Teslenko,ZeusCS_GO,7552,449,161000,2797,https://pbs.twimg.com/profile_images/980652753189068801/6XpvqSSi_400x400.jpg,,Данило Тесленко,star
Женя Сабурова,ZhenyaSaburova,1663,1094,185000,18200,https://pbs.twimg.com/profile_images/774660870387462144/WrU-l5eQ_400x400.jpg,,Женя Сабурова,
